Statistics Data,count,mean,std,min,25%,50%,75%,max
Number of nodes,13,92772.15385,40253.73262,59574,64295,71727,97739,165772
Number of links,13,246539.3077,117603.7727,148959,163760,185615,259483,463363
Density,13,3.20E-05,9.60E-06,1.66E-05,2.72E-05,3.60E-05,3.96E-05,4.20E-05
Average clustering coefficient,13,0.159786252,0.008815568,0.144087567,0.153344958,0.162315532,0.164367882,0.17440375
Average In-Degree,13,2.618974561,0.102129882,2.50040286,2.530835555,2.587798179,2.669003334,2.79518254
Average Out-Degree,13,2.618974561,0.102129882,2.50040286,2.530835555,2.587798179,2.669003334,2.79518254
Average Total-Degree,13,5.237949122,0.204259764,5.000805721,5.061671109,5.175596358,5.338006667,5.59036508
Maximum In-Degree,13,44296.84615,20467.2709,29021,30185,33397,43200,88358
Maximum Out-Degree,13,22655.07692,8206.56577,15198,15972,19229,24946,37205
Maximum Total-Degree,13,66951.92308,28531.14558,44285,46184,52371,68146,125563
Average In-Degree Strength,13,246539.3077,117603.7727,148959,163760,185615,259483,463363
Average Out-Degree Strength,13,246539.3077,117603.7727,148959,163760,185615,259483,463363
Average Total-Degree Strength,13,493078.6154,235207.5454,297918,327520,371230,518966,926726
Average path length,13,8.253212175,0.830986732,6.973106726,7.681334487,8.092098114,8.502420402,10.09391679
Diameter,13,258.3846154,67.0914034,146,211,271,291,394
